Project Name;Project Description;Project Definition;Activity Description;Activity Name;Posted time (h);Comment
2WAA075256;Senatobia Extension OPTIMAX;Engineering;Engineering;2.2.3.1.03;2;Reading available documentation
2WAA075256;Senatobia Extension OPTIMAX;Engineering;Engineering;2.2.3.1.03;1;Internal Kick off meeting
2WAA075256;Senatobia Extension OPTIMAX;Engineering;Engineering;2.2.3.1.03;1;Documentation reading
2WAA075256;Senatobia Extension OPTIMAX;Engineering;Engineering;2.2.3.1.03;1;Pre-internal KO meeting
2WAA075256;Senatobia Extension OPTIMAX;Engineering;Engineering;2.2.3.1.03;3;Presentation preparation for Senatobia, internal kick off
2WAA075256;Senatobia Extension OPTIMAX;Engineering;Engineering;2.2.3.1.03;2;Senatobia presentation preparation
2WAA075256;Senatobia Extension OPTIMAX;Engineering;Engineering;2.2.3.1.03;1;KO Meeting
2WAA075256;Senatobia Extension OPTIMAX;Engineering;Engineering;2.2.3.1.03;1;Senatobia weekly meeting
2WAA075256;Senatobia Extension OPTIMAX;Engineering;Engineering;2.2.3.1.03;1;Senatobia meeting and Documentation reading
2WAA075256;Senatobia Extension OPTIMAX;Engineering;Engineering;2.2.3.1.03;1;Senatobia meeting
2WAA075256;Senatobia Extension OPTIMAX;Engineering;Engineering;2.2.3.1.03;1;Senatobia meeting
2WAA075256;Senatobia Extension OPTIMAX;Engineering;Engineering;2.2.3.1.03;3;Meeting with USABB. Reading of documentation, FDS writing.
2WAA075256;Senatobia Extension OPTIMAX;Engineering;Engineering;2.2.3.1.03;1;Senatobia weekly call
2WAA075256;Senatobia Extension OPTIMAX;Engineering;Engineering;2.2.3.1.03;3;MODBUS connectivity with Weather station
2WAA075256;Senatobia Extension OPTIMAX;Engineering;Engineering;2.2.3.1.03;1;Senatobia meeting
2WAA075256;Senatobia Extension OPTIMAX;Engineering;Engineering;2.2.3.1.03;1;Weekly Meeting
2WAA075256;Senatobia Extension OPTIMAX;Engineering;Engineering;2.2.3.1.03;1;Biweekly meeting with customer
2WAA075256;Senatobia Extension OPTIMAX;Engineering;Engineering;2.2.3.1.03;1;Weekly Meeting
2WAA076225;Camp del Din;Engineering;Documentation;2.2.3.1.01;1;Reading the documentation
2WAA076225;Camp del Din;Engineering;Documentation;2.2.3.1.01;2;reading documentation
2WAA076225;Camp del Din;Engineering;Documentation;2.2.3.1.01;2;Camp del Din - Scenario documentation
2WAA076225;Camp del Din;Project management;Int. Communication;2.2.2.1.06;1;Kick off meeting
2WAA076225;Camp del Din;Project management;Int. Communication;2.2.2.1.06;1;Internal meeting with JT, JB and Richard
2WAA076225;Camp del Din;Project management;Int. Communication;2.2.2.1.06;1;Camp del Din - meeting with ITABB
2WAA076285;P2X Solutions project - Optimax support;Engineering;Engineering;2.1.2.03;2;P2X creating VHD file and uploading
2WAA076285;P2X Solutions project - Optimax support;Engineering;Engineering;2.1.2.03;2;P2X OPTIMAX deployment
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;5;
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;4;
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;5;
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;5;
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;4;
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;3;
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;4;
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;5;
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;3;
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;4;
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;5;
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;6;
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;3;
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;4;
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;4;
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;5;
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;4;
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;5;
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;5;
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;6;
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;4;
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;5;
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;6;
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;4;
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;5;
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;3;
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;4;
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;5;
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;3;
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;4;
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;6;
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;4;
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;5;
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;5;
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;6;
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;3;
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;6;
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;5;
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;6;
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;4;
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;6;
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;5;
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;7;
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;5;
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;3;
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;6;
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;6;
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;4;
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;3;
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;6;
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;3;
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;5;
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;6;
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;3;
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;4;
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;6;
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;5;
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;3;
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;5;
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;5;
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;6;
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;4;
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;5;
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;6;
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;4;
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;6;
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;4;
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;4;HPPST new model
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;6;HPPST new model
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;6;HPPST new model
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;4;HPPST new model
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;4;HPPST new model
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;5;HPPST new model
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;4;HPPST new model
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;6;HPPST new model
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;6;HPPST new model
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;6;HPPST new model
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;2;New model params update
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;4;New model params update
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;3;New model params update
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;6;New model params update
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;5;New model params update, model testing
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;6;new model input params
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;4;redis issues
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;5;redis issues
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;6;new model input params
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;5;new localhost optimax version 6.4.0
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;5;new localhost setup
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;4;new model testing
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;7;new model testing, devops tasks, roadmap, team meetings
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;5;devops tasks, roadmap
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;5;devops tasks, roadmap, sizing tool versions comparison
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;6;post system update model testing
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;6;
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;5;new model updates
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;4;new model updates
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;4;new model timeseries
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;6;new model timeseries
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;6;new model timeseries and meta
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;5;new model meta data
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;6;new model timeseries, params
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;6;new model results comparison
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;8;new model results comparison, meeting, UI new changes review
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;5;UI updates
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;3;UI updates
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;6;backend to UI changes
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;3;backend to UI changes
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;5;backend to UI changes
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;5;JB model setup update - fixed production
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;4;battery parameters addition to prod
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;4;UI and backend tests
2WAA064049;ADNOC OPTIMAX Pilot;Project management;General project coordination;2.1.1.01;1;Purchase order administration.
2WAA064049;ADNOC OPTIMAX Pilot;Project management;General project coordination;2.1.1.01;1;Up-date Planisware.
2WAA064049;ADNOC OPTIMAX Pilot;Project management;General project coordination;2.1.1.01;1;Up-date Planisware.
2WAA064049;ADNOC OPTIMAX Pilot;Project management;General project coordination;2.1.1.01;1;Up-date Planisware.
2WAA064049;ADNOC OPTIMAX Pilot;Project management;General project coordination;2.1.1.01;2;Meeting for NORDD issues.
2WAA064049;ADNOC OPTIMAX Pilot;Project management;General project coordination;2.1.1.01;2;Up-date Planisware.
2WAA064049;ADNOC OPTIMAX Pilot;Project management;General project coordination;2.1.1.01;1;Up-date Planisware.
2WAA064049;ADNOC OPTIMAX Pilot;Project management;General project coordination;2.1.1.01;2;Fixing February Timesheet for Jan Bitta. Recording PO 3797123092 rev.4.
2WAA064049;ADNOC OPTIMAX Pilot;Project management;General project coordination;2.1.1.01;1;Fixing February Timesheet for Robert Stodulka and Jan Talavasek.
2WAA064049;ADNOC OPTIMAX Pilot;Project management;General project coordination;2.1.1.01;1;Task list review with Lead Engineer.
2WAA064049;ADNOC OPTIMAX Pilot;Project management;General project coordination;2.1.1.01;1;Meeting with Lead Engineer.
2WAA064049;ADNOC OPTIMAX Pilot;Project management;General project coordination;2.1.1.01;1;Planisware up-date.
2WAA064049;ADNOC OPTIMAX Pilot;Project management;General project coordination;2.1.1.01;1;Meeting with Lead Engineer.
2WAA064049;ADNOC OPTIMAX Pilot;Project management;General project coordination;2.1.1.01;1;Meeting with Lead Engineer.
2WAA064049;ADNOC OPTIMAX Pilot;Project management;General project coordination;2.1.1.01;1;Planisware up-date.
2WAA064049;ADNOC OPTIMAX Pilot;Project management;General project coordination;2.1.1.01;1;Adnoc project escalation with Lead engineer.
2WAA064458;Habhsan 5;Project management;Project Coordination;2.1.1.01;1;Up-date in Planisware.
2WAA064458;Habhsan 5;Project management;Project Coordination;2.1.1.01;1;Meeting with Lead Engineer. Purchase order administration.
2WAA064458;Habhsan 5;Project management;Project Coordination;2.1.1.01;1;Habshan - Schedulling with Lead Engineer.
2WAA064458;Habhsan 5;Project management;Project Coordination;2.1.1.01;1;Habshan - Schedulling with Lead Engineer. Invoicing 2024.
2WAA064458;Habhsan 5;Project management;Project Coordination;2.1.1.01;1;PLW up-date.
2WAA064458;Habhsan 5;Project management;Project Coordination;2.1.1.01;1;Purchase order rev.4 handling.
2WAA064458;Habhsan 5;Project management;Project Coordination;2.1.1.01;1;Meeting with Lead Engineer.
2WAA064458;Habhsan 5;Project management;Project Coordination;2.1.1.01;1;Planisware up-date.
2WAA064458;Habhsan 5;Project management;Project Coordination;2.1.1.01;1;Meeting with Lead Engineer.
2WAA064458;Habhsan 5;Project management;Project Coordination;2.1.1.01;1;Meeting with Lead Engineer. Digital project overview.
2WAA064458;Habhsan 5;Project management;Project Coordination;2.1.1.01;1;Meeting with Lead Engineer.
2WAA064458;Habhsan 5;Project management;Project Coordination;2.1.1.01;1;Meeting with Lead Engineer.
2WAA064458;Habhsan 5;Project management;Project Coordination;2.1.1.01;1;Meeting with Lead Engineer.
2WAA064458;Habhsan 5;Project management;Project Coordination;2.1.1.01;1;Meeting with Lead Engineer.
2WAA068585;Ene vision;Project management;Project management;2.1.1.01;1;Studying documents from Klara.
2WAA068585;Ene vision;Project management;Project management;2.1.1.01;1;Studying documents from Klara.
2WAA068585;Ene vision;Project management;Project management;2.1.1.01;1;Studying documents from Klara.
2WAA068585;Ene vision;Project management;Project management;2.1.1.01;1;Studying documents from Klara.
2WAA068585;Ene vision;Project management;Project management;2.1.1.01;1;Studying documents from Klara.
2WAA068585;Ene vision;Project management;Project management;2.1.1.01;1;Studying documents from Klara.
2WAA068585;Ene vision;Project management;Project management;2.1.1.01;1;Up-date in Planisware.
2WAA068585;Ene vision;Project management;Project management;2.1.1.01;1;Up-dating in Planisware.
2WAA068585;Ene vision;Project management;Project management;2.1.1.01;1;Up-dating in Planisware.
2WAA068585;Ene vision;Project management;Project management;2.1.1.01;1;Digital project overview.
2WAA068585;Ene vision;Project management;Project management;2.1.1.01;1;Studying documents from Klara.
2WAA068585;Ene vision;Project management;Project management;2.1.1.01;1;Up-date Planisware.
2WAA068585;Ene vision;Project management;Project management;2.1.1.01;1;PLW up-date.
2WAA068585;Ene vision;Project management;Project management;2.1.1.01;1;Meeting with Lead Engineer. PLW up-date.
2WAA068585;Ene vision;Project management;Project management;2.1.1.01;1;PLW up-date.
2WAA068585;Ene vision;Project management;Project management;2.1.1.01;1;PLW up-date.
2WAA068585;Ene vision;Project management;Project management;2.1.1.01;1;PLW up-date.
2WAA068585;Ene vision;Project management;Project management;2.1.1.01;1;PLW up-date.
2WAA068585;Ene vision;Project management;Project management;2.1.1.01;1;Digital project overview.
2WAA068585;Ene vision;Project management;Project management;2.1.1.01;1;PLW up-date.
2WAA068585;Ene vision;Project management;Project management;2.1.1.01;2;Recording new PO into system. Invoicing request preparation.
2WAA068585;Ene vision;Project management;Project management;2.1.1.01;1;Invoicing request preparation.
2WAA068585;Ene vision;Project management;Project management;2.1.1.01;1;Meeting with Lead Engineer.
2WAA068585;Ene vision;Project management;Project management;2.1.1.01;1;Planisware up-date.
2WAA068585;Ene vision;Project management;Project management;2.1.1.01;1;Meeting with Lead Engineer.
2WAA068585;Ene vision;Project management;Project management;2.1.1.01;1;Planisware up-date.
2WAA068585;Ene vision;Project management;Project management;2.1.1.01;1;Meeting with Lead Engineer.
2WAA068585;Ene vision;Project management;Project management;2.1.1.01;1;Meeting with Lead Engineer.
2WAA068585;Ene vision;Project management;Project management;2.1.1.01;1;Meeting with Lead Engineer.
2WAA069020;Optimax - ECOPETROL REFICAR Refinery Colombia;Project management;General Project Management;2.1.1.01;2;Studying documents from Klara.
2WAA069020;Optimax - ECOPETROL REFICAR Refinery Colombia;Project management;General Project Management;2.1.1.01;1;Studying documents from Klara.
2WAA069020;Optimax - ECOPETROL REFICAR Refinery Colombia;Project management;General Project Management;2.1.1.01;1;Studying documents from Klara.
2WAA069020;Optimax - ECOPETROL REFICAR Refinery Colombia;Project management;General Project Management;2.1.1.01;1;Ecopetrol - status. Digital project overview.
2WAA069020;Optimax - ECOPETROL REFICAR Refinery Colombia;Project management;General Project Management;2.1.1.01;1;Studying documents from Klara.
2WAA069020;Optimax - ECOPETROL REFICAR Refinery Colombia;Project management;General Project Management;2.1.1.01;1;Studying documents from Klara.
2WAA069020;Optimax - ECOPETROL REFICAR Refinery Colombia;Project management;General Project Management;2.1.1.01;1;Ecopetrol status with Klara and Mladen Kasler. Digital project overview.
2WAA069020;Optimax - ECOPETROL REFICAR Refinery Colombia;Project management;General Project Management;2.1.1.01;1;Studying documents from Klara.
2WAA069020;Optimax - ECOPETROL REFICAR Refinery Colombia;Project management;General Project Management;2.1.1.01;1;Studying documents from Klara. Planisware project up-date.
2WAA069020;Optimax - ECOPETROL REFICAR Refinery Colombia;Project management;General Project Management;2.1.1.01;1;Studying documents from Klara.
2WAA069020;Optimax - ECOPETROL REFICAR Refinery Colombia;Project management;General Project Management;2.1.1.01;1;Studying documents from Klara.
2WAA069020;Optimax - ECOPETROL REFICAR Refinery Colombia;Project management;General Project Management;2.1.1.01;1;Up-dating in Planisware.
2WAA069020;Optimax - ECOPETROL REFICAR Refinery Colombia;Project management;General Project Management;2.1.1.01;1;Up-dating in Planisware.
2WAA069020;Optimax - ECOPETROL REFICAR Refinery Colombia;Project management;General Project Management;2.1.1.01;1;Ecopetrol - status.
2WAA069020;Optimax - ECOPETROL REFICAR Refinery Colombia;Project management;General Project Management;2.1.1.01;1;Up-date Planisware.
2WAA069020;Optimax - ECOPETROL REFICAR Refinery Colombia;Project management;General Project Management;2.1.1.01;1;Meeting with Lead Engineer.
2WAA069020;Optimax - ECOPETROL REFICAR Refinery Colombia;Project management;General Project Management;2.1.1.01;2;Meeting with Lead Engineer. Digital project overview.
2WAA069020;Optimax - ECOPETROL REFICAR Refinery Colombia;Project management;General Project Management;2.1.1.01;1;PLW up-date.
2WAA069020;Optimax - ECOPETROL REFICAR Refinery Colombia;Project management;General Project Management;2.1.1.01;1;PLW up-date.
2WAA069020;Optimax - ECOPETROL REFICAR Refinery Colombia;Project management;General Project Management;2.1.1.01;1;Meeting with Lead Engineer.
2WAA069020;Optimax - ECOPETROL REFICAR Refinery Colombia;Project management;General Project Management;2.1.1.01;1;Meeting with Lead Engineer. Digital project overview.
2WAA069020;Optimax - ECOPETROL REFICAR Refinery Colombia;Project management;General Project Management;2.1.1.01;1;Communication with Guillermo Lamana.
2WAA069020;Optimax - ECOPETROL REFICAR Refinery Colombia;Project management;General Project Management;2.1.1.01;1;Meeting with Lead Engineer. Digital project overview.
2WAA069020;Optimax - ECOPETROL REFICAR Refinery Colombia;Project management;General Project Management;2.1.1.01;1;Meeting with Lead Engineer.
2WAA069020;Optimax - ECOPETROL REFICAR Refinery Colombia;Project management;General Project Management;2.1.1.01;1;Communication with Guillermo Lamana / Diego Olivares.
2WAA069020;Optimax - ECOPETROL REFICAR Refinery Colombia;Project management;General Project Management;2.1.1.01;1;Meeting with Lead Engineer.
2WAA069020;Optimax - ECOPETROL REFICAR Refinery Colombia;Project management;General Project Management;2.1.1.01;1;Invoice 91450936.
2WAA069020;Optimax - ECOPETROL REFICAR Refinery Colombia;Project management;General Project Management;2.1.1.01;1;Meeting with Lead Engineer.
2WAA069020;Optimax - ECOPETROL REFICAR Refinery Colombia;Project management;General Project Management;2.1.1.01;1;Planisware up-date.
2WAA069020;Optimax - ECOPETROL REFICAR Refinery Colombia;Project management;General Project Management;2.1.1.01;1;Ecopetrol escalation with Lead engineer.
2WAA069020;Optimax - ECOPETROL REFICAR Refinery Colombia;Project management;General Project Management;2.1.1.01;1;Meeting with Lead Engineer.
2WAA069020;Optimax - ECOPETROL REFICAR Refinery Colombia;Project management;General Project Management;2.1.1.01;1;Meeting with Lead Engineer. Digital project overview.
2WAA069020;Optimax - ECOPETROL REFICAR Refinery Colombia;Project management;General Project Management;2.1.1.01;1;Meeting with Lead Engineer. Digital project overview.
2WAA070477;Carpentras;Project management;General Project Management;2.1.1.01;1;Studying documents from Klara.
2WAA070477;Carpentras;Project management;General Project Management;2.1.1.01;1;Studying documents from Klara.
2WAA070477;Carpentras;Project management;General Project Management;2.1.1.01;1;Studying documents from Klara.
2WAA070477;Carpentras;Project management;General Project Management;2.1.1.01;1;Studying documents from Klara.
2WAA070477;Carpentras;Project management;General Project Management;2.1.1.01;1;Meeting with Klara and Jan Talavasek. Studying documents from Klara.
2WAA070477;Carpentras;Project management;General Project Management;2.1.1.01;1;Digital project overview.
2WAA070477;Carpentras;Project management;General Project Management;2.1.1.01;1;Studying documents from Klara.
2WAA070477;Carpentras;Project management;General Project Management;2.1.1.01;1;Meeting with Jan Talavasek. Up-dating in Planisware.
2WAA070477;Carpentras;Project management;General Project Management;2.1.1.01;1;Up-date in Planisware.
2WAA070477;Carpentras;Project management;General Project Management;2.1.1.01;1;Meeting with Jan Talavasek.
2WAA070477;Carpentras;Project management;General Project Management;2.1.1.01;1;Digital project overview. Communication with IAEN FR Automation.
2WAA070477;Carpentras;Project management;General Project Management;2.1.1.01;1;Meeting with Lead Engineer.
2WAA070477;Carpentras;Project management;General Project Management;2.1.1.01;1;Meeting with Jan Talavasek. Optimax Carpentras - project status with customer.
